epoch,acc,loss,val_acc,val_loss
0,0.2526385454038803,1.8678445704217748,0.3020339927577182,1.7981781637678573
1,0.332334807904114,1.7034088170965653,0.35399832822928423,1.6729371086340092
2,0.4015813856282002,1.5611483555668229,0.4389802173390366,1.5107837185682975
3,0.44031488383485673,1.4673330294117999,0.472137085555755,1.410470575534324
4,0.4674143996676863,1.3981048746365456,0.47826692673714255,1.3802713475608666
5,0.4886620920289667,1.3560336652359803,0.5156032321146851,1.2829884229911406
6,0.5035354766803058,1.3145064777281388,0.5160211758232941,1.2754594897719007
7,0.5157964401412415,1.2915885814110137,0.5214544441431603,1.2518055984720808
8,0.5253753178445784,1.2665370221322199,0.5167177486765115,1.2843726728911784
9,0.5330732522922987,1.2421162460427402,0.5447199777179722,1.2111769328711257
